TEXT_ALL_Think,TEXT_ALL_Know,TEXT_ALL_Causal,TEXT_ALL_Ought,TEXT_ALL_Perceiv,TEXT_ALL_Compare,TEXT_ALL_Eval@,TEXT_ALL_EVAL,TEXT_ALL_Solve,TEXT_ALL_Abs@,TEXT_ALL_ABS,TEXT_ALL_Quality,TEXT_ALL_Quan,TEXT_ALL_NUMB,TEXT_ALL_ORD,TEXT_ALL_CARD,TEXT_ALL_FREQ,TEXT_ALL_DIST,TEXT_ALL_Time@,TEXT_ALL_TIME,TEXT_ALL_Space,TEXT_ALL_POS,TEXT_ALL_DIM,TEXT_ALL_Rel,TEXT_ALL_COLOR,TEXT_Think,TEXT_Know,TEXT_Causal,TEXT_Ought,TEXT_Compare,TEXT_Perceiv,TEXT_Eval@,TEXT_EVAL,TEXT_Solve,TEXT_Abs@,TEXT_ABS,TEXT_Quality,TEXT_Quan,TEXT_NUMB,TEXT_ORD,TEXT_CARD,TEXT_FREQ,TEXT_DIST,TEXT_Time@,TEXT_TIME,TEXT_Space,TEXT_POS,TEXT_DIM,TEXT_Rel,TEXT_COLOR,TITLE_Think,TITLE_Know,TITLE_Causal,TITLE_Ought,TITLE_Perceiv,TITLE_Compare,TITLE_Eval@,TITLE_EVAL,TITLE_Solve,TITLE_Abs@,TITLE_ABS,TITLE_Quality,TITLE_Quan,TITLE_NUMB,TITLE_ORD,TITLE_CARD,TITLE_FREQ,TITLE_DIST,TITLE_Time@,TITLE_TIME,TITLE_Space,TITLE_POS,TITLE_DIM,TITLE_Rel,TITLE_COLOR,ABSTRACT_Think,ABSTRACT_Know,ABSTRACT_Causal,ABSTRACT_Ought,ABSTRACT_Perceiv,ABSTRACT_Compare,ABSTRACT_Eval@,ABSTRACT_EVAL,ABSTRACT_Solve,ABSTRACT_Abs@,ABSTRACT_ABS,ABSTRACT_Quality,ABSTRACT_Quan,ABSTRACT_NUMB,ABSTRACT_ORD,ABSTRACT_CARD,ABSTRACT_FREQ,ABSTRACT_DIST,ABSTRACT_Time@,ABSTRACT_TIME,ABSTRACT_Space,ABSTRACT_POS,ABSTRACT_DIM,ABSTRACT_Rel,ABSTRACT_COLOR,CONCLUSION_Think,INTRODUCTION_Think,SECTIONS_Think,CONCLUSION_Know,INTRODUCTION_Know,SECTIONS_Know,CONCLUSION_Causal,INTRODUCTION_Causal,SECTIONS_Causal,CONCLUSION_Ought,INTRODUCTION_Ought,SECTIONS_Ought,CONCLUSION_Perceiv,INTRODUCTION_Perceiv,SECTIONS_Perceiv,CONCLUSION_Compare,INTRODUCTION_Compare,SECTIONS_Compare,CONCLUSION_Eval@,INTRODUCTION_Eval@,SECTIONS_Eval@,CONCLUSION_EVAL,INTRODUCTION_EVAL,SECTIONS_EVAL,CONCLUSION_Solve,INTRODUCTION_Solve,SECTIONS_Solve,CONCLUSION_Abs@,INTRODUCTION_Abs@,SECTIONS_Abs@,CONCLUSION_ABS,INTRODUCTION_ABS,SECTIONS_ABS,CONCLUSION_Quality,INTRODUCTION_Quality,SECTIONS_Quality,CONCLUSION_Quan,INTRODUCTION_Quan,SECTIONS_Quan,CONCLUSION_NUMB,INTRODUCTION_NUMB,SECTIONS_NUMB,CONCLUSION_ORD,INTRODUCTION_ORD,SECTIONS_ORD,CONCLUSION_CARD,INTRODUCTION_CARD,SECTIONS_CARD,CONCLUSION_FREQ,INTRODUCTION_FREQ,SECTIONS_FREQ,CONCLUSION_DIST,INTRODUCTION_DIST,SECTIONS_DIST,CONCLUSION_Time@,INTRODUCTION_Time@,SECTIONS_Time@,CONCLUSION_TIME,INTRODUCTION_TIME,SECTIONS_TIME,CONCLUSION_Space,INTRODUCTION_Space,SECTIONS_Space,CONCLUSION_POS,INTRODUCTION_POS,SECTIONS_POS,CONCLUSION_DIM,INTRODUCTION_DIM,SECTIONS_DIM,CONCLUSION_Rel,INTRODUCTION_Rel,SECTIONS_Rel,CONCLUSION_COLOR,INTRODUCTION_COLOR,SECTIONS_COLOR,LABEL,ID,TIPO
0,0.083333333,0.022727273,0,0.022727273,0.007575758,0,0.03030303,0.015151515,0.045454545,0.045454545,0.007575758,0.098484848,0,0,0,0.007575758,0,0.015151515,0,0.083333333,0.007575758,0.007575758,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0.073170732,0.024390244,0,0.024390244,0.008130081,0,0.032520325,0.016260163,0.040650407,0.040650407,0.008130081,0.105691057,0,0,0,0.008130081,0,0.016260163,0,0.081300813,0.008130081,0.008130081,0.016260163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104,train
0.000547795,0.043549712,0.018625034,0.000273898,0.019720624,0.009860312,0.000273898,0.016433854,0.020542317,0.029580937,0.038345659,0.022185703,0.059983566,0.009586415,0.004382361,0.005204054,0.005204054,0.003286771,0.037250068,0.010955902,0.064913722,0.008490824,0.003834566,0.011503698,0.000547795,0.000562905,0.043625106,0.019138756,0.000281452,0.010132283,0.019420208,0.000281452,0.016042781,0.02082747,0.029833943,0.038840417,0.021390374,0.060230791,0.009569378,0.004503237,0.005066141,0.005347594,0.003377428,0.037433155,0.010413735,0.064452575,0.008443569,0.003940332,0.011820996,0.000562905,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0.043956044,0,0,0.021978022,0,0,0.021978022,0.010989011,0.021978022,0.021978022,0.043956044,0.054945055,0.010989011,0,0.010989011,0,0,0.032967033,0.021978022,0.087912088,0.010989011,0,0,0,0,0,0.000572954,0,0,0.039773892,0,0,0.016312918,0,0,0.000371747,0,0,0.019751762,0,0,0.009870953,0,0,0.000125786,0,0,0.014845217,0,0,0.020681254,0,0,0.029637418,0,0,0.041529015,0,0,0.020820579,0,0,0.051575189,0,0,0.008093909,0,0,0.004332821,0,0,0.003761089,0,0,0.004611745,0,0,0.004449748,0,0,0.04474661,0,0,0.012238025,0,0,0.06061995,0,0,0.008634943,0,0,0.002493082,0,0,0.011420148,0,0,0.000347826,1,105,train
0.000255363,0.045199183,0.015066394,0.000255363,0.002808989,0.009448417,0.000510725,0.013023493,0.033707865,0.028855975,0.034729316,0.01072523,0.057967314,0.013278856,0.003319714,0.009959142,0.007150153,0.000510725,0.022216547,0.005362615,0.056179775,0.007660878,0.004085802,0.018641471,0.00E+00,0.000267451,0.045199251,0.015512169,0.000267451,0.009895694,0.002407061,0.000534902,0.012570206,0.034233752,0.029687082,0.035303557,0.009895694,0.057234555,0.012302755,0.002941963,0.009360792,0.007488633,0.000534902,0.022198449,0.005081573,0.055629848,0.007221182,0.003744317,0.018721583,0,0,0.090909091,0,0,0.090909091,0,0,0.090909091,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.042168675,0.006024096,0,0.006024096,0,0,0.018072289,0.024096386,0.012048193,0.024096386,0.024096386,0.078313253,0.036144578,0.012048193,0.024096386,0,0,0.024096386,0.012048193,0.06626506,0.018072289,0.012048193,0.018072289,0,0,0,0.001388889,0,0,0.045165789,0,0,0.013991542,0,0,0.0000839,0,0,0.001522162,0,0,0.00952531,0,0,0.000543497,0,0,0.01123107,0,0,0.031384553,0,0,0.028438854,0,0,0.034100875,0,0,0.009277743,0,0,0.061973847,0,0,0.017507958,0,0,0.003373145,0,0,0.014134813,0,0,0.006200973,0,0,0.000778365,0,0,0.022759816,0,0,0.004883655,0,0,0.055710911,0,0,0.00619342,0,0,0.002525414,0,0,0.021612323,0,0,0,1,107,train
0.00198059,0.05070311,0.027530204,0.000198059,0.011289364,0.01010101,0,0.013269954,0.029510794,0.017231135,0.024757378,0.009506833,0.082194494,0.01624084,0.00613983,0.01010101,0.004753417,0.000990295,0.033075857,0.006535948,0.073876015,0.011883541,0.001188354,0.021588433,0.000792236,0.002016129,0.051008065,0.027217742,0.000201613,0.010080645,0.011290323,0,0.013104839,0.02983871,0.017137097,0.024596774,0.009475806,0.082862903,0.016330645,0.006048387,0.010282258,0.00483871,0.001008065,0.032862903,0.006451613,0.073387097,0.011491935,0.001008065,0.021774194,0.000806452,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096386,0.048192771,0,0,0.012048193,0,0.024096386,0.012048193,0.024096386,0.036144578,0.012048193,0.048192771,0.012048193,0.012048193,0,0,0,0.048192771,0.012048193,0.108433735,0.036144578,0.012048193,0.012048193,0,0,0,0.002138802,0,0,0.047137066,0,0,0.025357836,0,0,0.000147362,0,0,0.013340926,0,0,0.013230272,0,0,0,0,0,0.015961097,0,0,0.032185777,0,0,0.014706043,0,0,0.022168607,0,0,0.010825319,0,0,0.081493227,0,0,0.016392907,0,0,0.00536479,0,0,0.011028117,0,0,0.004835794,0,0,0.001268392,0,0,0.037496771,0,0,0.006194172,0,0,0.081985088,0,0,0.013797912,0,0,0.000535418,0,0,0.020670956,0,0,0.00269154,0,108,train
0,0.084286574,0.021071644,0.001605459,0.018061409,0.010234798,0.000602047,0.010435481,0.025687337,0.050371262,0.054986956,0.007023881,0.060606061,0.012642986,0.004615693,0.008027293,0.00521774,0.001806141,0.024884608,0.002809552,0.069436083,0.008027293,0.00862934,0.013445715,0.000401365,0,0.083657986,0.021529629,0.001640353,0.010252204,0.017838835,0.000615132,0.010252204,0.025630511,0.049415624,0.054131638,0.007176543,0.060693049,0.012712733,0.004716014,0.007996719,0.005126102,0.001845397,0.025425466,0.002870617,0.070125077,0.008201763,0.008611852,0.013737954,0.000410088,0,0.222222222,0,0,0.111111111,0,0,0,0.111111111,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103092784,0,0,0.020618557,0.010309278,0,0.020618557,0.020618557,0.082474227,0.082474227,0,0.06185567,0.010309278,0,0.010309278,0.010309278,0,0,0,0.041237113,0,0.010309278,0,0,0,0,0,0,0,0.087507652,0,0,0.014401793,0,0,0.000383463,0,0,0.011529331,0,0,0.004503344,0,0,0.00015418,0,0,0.009564715,0,0,0.013677015,0,0,0.046313071,0,0,0.048603838,0,0,0.006888429,0,0,0.035168396,0,0,0.004040885,0,0,0.001392337,0,0,0.002648548,0,0,0.009370862,0,0,0.001274978,0,0,0.016569477,0,0,0.00101579,0,0,0.088645641,0,0,0.003215016,0,0,0.01156705,0,0,0.004625134,0,0,0.000168393,1,117,train
0,0.045552561,0.01212938,0.001078167,0.015633423,0.018328841,0.000269542,0.016442049,0.087331536,0.029110512,0.095687332,0.007277628,0.079784367,0.021024259,0.005929919,0.01509434,0.06361186,0.002695418,0.087601078,0.063881402,0.068463612,0.009433962,0.008894879,0.020215633,0,0,0.044419455,0.012088839,0.001124543,0.019117234,0.015181333,0.000281136,0.015743604,0.086870959,0.029519258,0.095586168,0.006747259,0.080685971,0.021085184,0.005903852,0.015181333,0.062412145,0.002811358,0.08743323,0.063255552,0.06944054,0.009558617,0.008996345,0.020522913,0,0,0.166666667,0,0,0.083333333,0,0,0.083333333,0.083333333,0.166666667,0.25,0,0.083333333,0,0,0,0.083333333,0,0.083333333,0.083333333,0,0,0,0,0,0,0.063829787,0.014184397,0,0.021276596,0,0,0.028368794,0.09929078,0.007092199,0.085106383,0.021276596,0.056737589,0.021276596,0.007092199,0.014184397,0.092198582,0,0.092198582,0.078014184,0.04964539,0.007092199,0.007092199,0.014184397,0,0,0,0,0,0,0.043708771,0,0,0.010839253,0,0,0.00245588,0,0,0.014797693,0,0,0.01519999,0,0,0.000703235,0,0,0.018670562,0,0,0.078893739,0,0,0.027590113,0,0,0.088587627,0,0,0.00476549,0,0,0.072142903,0,0,0.022346405,0,0,0.004839081,0,0,0.017507324,0,0,0.058274463,0,0,0.00169096,0,0,0.079230716,0,0,0.059306554,0,0,0.07218417,0,0,0.008683482,0,0,0.007759025,0,0,0.014164041,0,0,0,0,12,train
0.000246184,0.04751354,0.018709995,0.002708026,0.008124077,0.007877893,0,0.012801576,0.029788282,0.042836041,0.04751354,0.007631709,0.062038405,0.013293944,0.00418513,0.009108813,0.006646972,0.000738552,0.026834072,0.00418513,0.061792221,0.005908419,0.001723289,0.013540128,0,0.000254323,0.047558494,0.018565615,0.002797558,0.007629705,0.008392675,0,0.012970498,0.030264496,0.041963377,0.046286877,0.007884028,0.06180061,0.013224822,0.004323499,0.008901322,0.006612411,0.000508647,0.02619532,0.004069176,0.061291963,0.006103764,0.001525941,0.013479145,0,0,0.2,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.024,0,0,0.016,0,0.008,0.016,0.056,0.072,0,0.072,0.016,0,0.016,0.008,0.008,0.048,0.008,0.08,0,0.008,0.016,0,0,0,0.000245098,0,0,0.047347385,0,0,0.01748809,0,0,0.002615754,0,0,0.008122856,0,0,0.007317698,0,0,0,0,0,0.013920325,0,0,0.030298648,0,0,0.04264652,0,0,0.047234702,0,0,0.007120601,0,0,0.056607344,0,0,0.013051804,0,0,0.004536201,0,0,0.008515604,0,0,0.006318366,0,0,0.000268384,0,0,0.025851079,0,0,0.004487133,0,0,0.061651988,0,0,0.006352881,0,0,0.001822841,0,0,0.014719551,0,0,0,1,122,train
0.000275634,0.055126792,0.024255788,0,0.0146086,0.009647189,0.000275634,0.011300992,0.024255788,0.036659316,0.045203969,0.006063947,0.049062845,0.007717751,0.003583241,0.004134509,0.004410143,0.000551268,0.02508269,0.007993385,0.06753032,0.003031974,0.007442117,0.009647189,0.000551268,0.000288351,0.056805075,0.023356401,0,0.009803922,0.014129181,0.000288351,0.010380623,0.024509804,0.037197232,0.046136101,0.006055363,0.049596309,0.007497116,0.003460208,0.004036909,0.004036909,0.000576701,0.025663206,0.008362168,0.068627451,0.003171857,0.007497116,0.009515571,0.000576701,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987013,0.038961039,0,0.019480519,0.006493506,0,0.032467532,0.019480519,0.019480519,0.019480519,0.006493506,0.032467532,0.012987013,0.006493506,0.006493506,0.012987013,0,0.012987013,0,0.045454545,0,0.006493506,0.012987013,0,0,0,0.000132802,0,0,0.052865546,0,0,0.023089733,0,0,0,0,0,0.014607603,0,0,0.008817876,0,0,0.000132802,0,0,0.010952961,0,0,0.022667113,0,0,0.035384342,0,0,0.043761286,0,0,0.0070663,0,0,0.047376144,0,0,0.00743726,0,0,0.003460798,0,0,0.003976462,0,0,0.004354632,0,0,0.001301192,0,0,0.022038123,0,0,0.007075752,0,0,0.068475236,0,0,0.003379035,0,0,0.005586105,0,0,0.010668425,0,0,0.000536738,0,128,train
0,0.047642929,0.018555667,0.000250752,0.006770311,0.010280843,0.001253761,0.021313942,0.022066199,0.028585757,0.035105316,0.005767302,0.065446339,0.007522568,0.002006018,0.00551655,0.004764293,0.001253761,0.027081244,0.00551655,0.060180542,0.00551655,0.006519559,0.01328987,0,0,0.048069346,0.01891253,0.000262674,0.010244287,0.006566851,0.000788022,0.019963226,0.022589966,0.02810612,0.034935645,0.005516154,0.066193853,0.007354873,0.002101392,0.00525348,0.004990806,0.00131337,0.02810612,0.005778828,0.060152351,0.005778828,0.006304177,0.013659049,0,0,0.071428571,0,0,0,0,0.071428571,0.071428571,0,0.071428571,0.071428571,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035928144,0.011976048,0,0.011976048,0.011976048,0.005988024,0.047904192,0.011976048,0.035928144,0.035928144,0.005988024,0.053892216,0.011976048,0,0.011976048,0,0,0.005988024,0,0.065868263,0,0.011976048,0.005988024,0,0,0,0,0,0,0.04604062,0,0,0.018121802,0,0,0.000181653,0,0,0.007656629,0,0,0.008771157,0,0,0.000286748,0,0,0.018555048,0,0,0.02053756,0,0,0.025546523,0,0,0.035704237,0,0,0.004937851,0,0,0.063776577,0,0,0.009714644,0,0,0.003749062,0,0,0.005965582,0,0,0.007427962,0,0,0.001019554,0,0,0.031361215,0,0,0.009643211,0,0,0.058993382,0,0,0.00695648,0,0,0.006518333,0,0,0.016715687,0,0,0,1,130,train
0,0.06565531,0.038796319,0.001243472,0.007709525,0.015170356,0.000248694,0.020641631,0.024123352,0.02511813,0.033822432,0.012434718,0.087789107,0.00571997,0.002238249,0.003481721,0.005471276,0.002238249,0.037304153,0.006963442,0.078338722,0.004476498,0.001989555,0.016165133,0.000497389,0,0.065532131,0.038608077,0.001270003,0.01524003,0.007874016,0.000254001,0.020574041,0.023622047,0.02514605,0.034036068,0.012700025,0.088138176,0.005842012,0.002286005,0.003556007,0.005588011,0.002286005,0.037846076,0.007112014,0.078740157,0.004572009,0.002032004,0.016256033,0.000508001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.051282051,0,0,0.012820513,0,0.025641026,0.051282051,0.025641026,0.025641026,0,0.076923077,0,0,0,0,0,0.012820513,0,0.064102564,0,0,0.012820513,0,0,0,0,0,0,0.068829256,0,0,0.039405933,0,0,0.001294584,0,0,0.005970428,0,0,0.016574276,0,0,0.000253293,0,0,0.022611052,0,0,0.022415709,0,0,0.023240106,0,0,0.031435498,0,0,0.010358506,0,0,0.093623379,0,0,0.005216814,0,0,0.002474973,0,0,0.002741841,0,0,0.004907576,0,0,0.002121339,0,0,0.046643076,0,0,0.006322254,0,0,0.069803003,0,0,0.00540071,0,0,0.002254854,0,0,0.012812575,0,0,0.00110742,1,134,train
